labels	source	f	m	kw_s	kw_f	kw_m	data_split
SUBJ;DROP;AATR;PPA	I regret having called her.	Estoy arrepentida de haberla llamado.	Estoy arrepentido de haberla llamado.	[I] regret	(yo)=arrepentida	(yo)=arrepentido	dev
SUBJ;PROF	A producer who keeps suckler cows on the farm may, upon request, qualify for a premium for maintaining the suckler cow herd (suckler cow premium).	La productora que mantenga vacas nodrizas en su explotación podrá, previa solicitud, acogerse a una prima por el mantenimiento del censo de vacas nodrizas (prima por vaca nodriza).	El productor que mantenga vacas nodrizas en su explotación podrá, previa solicitud, acogerse a una prima por el mantenimiento del censo de vacas nodrizas (prima por vaca nodriza).	producer	la [productora]	el [productor]	dev
FRAG;SUBJ;PROF	The examiner will issue an objection and request the applicant to:	La examinadora formulará una objeción y pedirá al solicitante que:	El examinador formulará una objeción y pedirá al solicitante que:	examiner	la [examinadora]	el [examinador]	dev
SCMP;SUBJ;OTH;PLUR	It is no wonder that many foreigners are situated in the area.	No sorprende el hecho de que muchas extranjeras están en el área.	No sorprende el hecho de que muchos extranjeros están en el área.	many [foreigners]	muchas [extranjeras]	muchos [extranjeros]	dev
SCMP;SUBJ;PROF	And we can also determine if the patient needs a stent or other therapy.	Y también podemos determinar si la paciente necesita un stent u otra terapia.	Y también podemos determinar si el paciente necesita un stent u otra terapia.	patient	la [paciente]	el [paciente]	dev
SCMP;SUBJ;PPA;PLUR	We do not believe that unelected judges should make this decision; it has permanent consequences	No creemos que las juezas no elegidas deberían de tomar esta decisión; las consecuencias son permanentes.	No creemos que los jueces no elegidos deberían de tomar esta decisión; las consecuencias son permanentes.	unelected [judges]	las [juezas] no elegidas	los [jueces] no elegidos	dev
SUBJ;OTH;AATR;PPA;ANAN	The patient is unconscious or very sleepy.	La paciente está inconsciente o muy adormilada.	El paciente está inconsciente o muy adormilado.	patient=very sleepy	la [paciente]=muy adormilada	el [paciente]=muy adormilado	dev
SUBJ;OTH;PLUR;APRD;PPA	"Sir",  said Mr. Fogg to the captain, "three passengers have disappeared."	"Sir", dijo el señor Fogg al capitán, "tres pasajeras han desaparecido".	"Sir", dijo el señor Fogg al capitán, "tres pasajeros han desaparecido".	passengers=disappeared	pasajeras=desaparecido	pasajeros=desaparecido	dev
DOBJ;PROF;PLUR;SUBJ;PLUR;DFCL	There are few honourable Members present - those few should at least be quiet and show respect for the presidency!	Hay pocas diputadas honorables presentes, ¡esas pocas deberían al menos callarse y mostrar respeto por la presidencia!	Hay pocos diputados honorables presentes, ¡esos pocos deberían al menos callarse y mostrar respeto por la presidencia!	few honourable [members]=[those] few	pocas [diputadas] honorables=[esas] pocas	pocos [diputados] honorables=[esos] pocos	dev
SCMP;SUBJ;PROF	If your dentist recommends tooth extraction, ask whether root canal treatment is an option.	Si tu dentista te recomienda la extracción del diente, pregúntale si el tratamiento de conductos es una opción.	Si tu dentista te recomienda la extracción del diente, pregúntale si el tratamiento de conductos es una opción.	dentist	dentista	dentista	dev
SUBJ;AATR;PPA	Be determined to have a great day, and you will.	Esté decidida a tener un gran día, y lo tendrá.	Esté decidido a tener un gran día, y lo tendrá.	you=determined	(usted)=decidida	(usted)=decidido	dev
SUBJ;OTH;PLUR	Many amateurs can build a house, whether they do it well is another matter.	Muchas aficionadas pueden construir una casa, que lo hagan bien es otra cosa.	Muchos aficionados pueden construir una casa, que lo hagan bien es otra cosa.	many [amateurs]	muchas [aficionadas]	muchos [aficionados]	dev
SUBJ;PROF;PLUR;RSCMP;PLUR	Private investors will remain most important in a market-based approach to energy policy.	Las inversoras privadas seguirán siendo las más importantes en un enfoque de mercado para la política energética.	Los inversores privados seguirán siendo los más importantes en un enfoque de mercado para la política energética.	private [investors]=most [important]	las [inversoras] privadas=las más [importantes]	los [inversores] privados=los más [importantes]	dev
QUES;DOBJ;FAM;PLUR;DOBJ;PLUR	Do you find your friends, do you see them?	¿Encuentras a tus amigas?, ¿las ves?	¿Encuentras a tus amigos?, ¿los ves?	friends=them	amigas=las	amigos=los	dev
SCMP;OPRP;REL;PLUR	Sermons allow only a limited diffusion of ideas, since the part of the disciples who listen to them already believe in them and the other part, whom we could perhaps convince, does not attend church.	Los sermones sólo permiten una difusión limitada de las ideas, puesto que la parte de las discípulas que los escucha ya creen en ellas y la otra parte, a la que quizás podríamos convencer, no acude a la iglesia.	Los sermones sólo permiten una difusión limitada de las ideas, puesto que la parte de los discípulos que los escucha ya creen en ellas y la otra parte, a la que quizás podríamos convencer, no acude a la iglesia.	disciples	las [discípulas]	los [discípulos]	dev
SUBJ;OTH;PLUR	Guests can enjoy drinks and snacks on the hotel's sun terrace, or order room service for a relaxing night in.	En el solárium del establecimiento se pueden tomar bebidas y aperitivos, y las huéspedes disponen de servicio de habitaciones.	En el solárium del establecimiento se pueden tomar bebidas y aperitivos, y los huéspedes disponen de servicio de habitaciones.	guests	las [huéspedes]	los [huéspedes]	dev
SUBJ;OTH	That clever blind person may lack sight, but does not lack courage.	A esa astuta ciega le faltara la vista, pero no le falta coraje.	A ese astuto ciego le faltara la vista, pero no le falta coraje.	that clever [blind person]	esa astuta [ciega]	ese astuto [ciego]	dev
SCMP;SUBJ;OTH;PLUR	That is what the extremists have long wanted, and with each day that passes they become more difficult to control.	Esto es lo que desde hace tiempo desean las extremistas, que cada día son más incontrolables.	Esto es lo que desde hace tiempo desean los extremistas, que cada día son más incontrolables.	extremists	las [extremistas]	los [extremistas]	dev
SUBJ;SCMP;SUBJ;APRD;PPA	Overslept and missed work.	No vino al trabajo porque se quedó dormida.	No vino al trabajo porque se quedó dormido.	(She/he)=overslept	(ella)=dormida	(él)=dormido	dev
SUBJ;PROF	The Consul General has requested that the piece be perfectly visible from the main office.	La consulesa general ha solicitado que la pieza se pueda ver perfectamente desde la oficina principal.	El cónsul general ha solicitado que la pieza se pueda ver perfectamente desde la oficina principal.	[consul] general	la [consulesa] general	el [cónsul] general	dev
SUBJ;FAM;PLUR	Many friends had been to see the child, as to all human appearances his end was near.	Muchas amigas habían acudido a ver al niño, dado que, a juzgar por todas las apariencias, estaba pronto a fallecer.	Muchos amigos habían acudido a ver al niño, dado que, a juzgar por todas las apariencias, estaba pronto a fallecer.	many [friends]	muchas [amigas]	muchos [amigos]	dev
IOBJ;OTH;PLUR	Agostina gave away her lunch to the orphans.	Agostina les regaló su almuerzo a las huérfanas.	Agostina les regaló su almuerzo a los huérfanos.	orphans	las [huérfanas]	los [huérfanos]	dev
SCMP;SUBJ;FAM	Finding out their child has a learning or attention issue can hit parents hard.	Descubrir que su hija tiene dificultades de aprendizaje y atención puede ser devastador para los padres.	Descubrir que su hijo tiene dificultades de aprendizaje y atención puede ser devastador para los padres.	child	hija	hijo	dev
SUBJ;PROF;AATR;PPA	The acting director was very liked by the rehearsal team.	La directora interina era muy apreciada por el equipo de ensayo.	El director interino era muy apreciado por el equipo de ensayo.	acting [director]=very liked	la [directora] interina=muy apreciada	el [director] interino=muy apreciado	dev
SCMP;SUBJ;PROF	The goal scored by the player was unheard of, and with just 30 seconds left in the game; the team is now in the preliminaries.	El gol que metió la jugadora fue algo nunca visto, y justo quedaban 30 segundos del final del partido; el equipo va ahora a las preliminares.	El gol que metió el jugador fue algo nunca visto, y justo quedaban 30 segundos del final del partido; el equipo va ahora a las preliminares.	player	la [jugadora]	el [jugador]	dev
SCMP;OPRP;OTH;PLUR	The postal services and companies may also request that the politicians finally provide some clarity, so that they can develop a policy for the future, in which of course the interests of the consumers must be central.	También los servicios y las empresas de correos pueden exigir que la política proporcione, por fin, normas claras que les permitan desarrollar una política para el futuro, en la que los intereses de la consumidora ocupen un lugar predominante.	También los servicios y las empresas de correos pueden exigir que la política proporcione, por fin, normas claras que les permitan desarrollar una política para el futuro, en la que los intereses del consumidor ocupen un lugar predominante.	of the [consumers]	de la [consumidora]	del [consumidor]	dev
SUBJ;PROF;AATR	The nurse will watch for signs of arousal, such as vocal noises, eyes opening or movement.	La enfermera estará atenta a los signos que se presentan si despiertas, como los sonidos vocales, la apertura o el movimiento de ojos.	El enfermero estará atento a los signos que se presentan si despiertas, como los sonidos vocales, la apertura o el movimiento de ojos.	nurse=watch	la [enfermera]=atenta	el [enfermero]=atento	dev
SUBJ;PROF;PLUR	The student body was absent as soon as the semester ended, while the professors had to correct final exams.	El alumnado se ausentó tan pronto terminó el semestre, las profesoras, por otro lado, tuvieron que corregir exámenes finales.	El alumnado se ausentó tan pronto terminó el semestre, los profesores, por otro lado, tuvieron que corregir exámenes finales.	professors	las [profesoras]	los [profesores]	dev
QUES;SUBJ;FAM;POSS;POSC	Where is that child of yours?	¿Dónde está esa hija tuya?	¿Dónde está ese hijo tuyo?	that [child] of yours	esa [hija] tuya	ese [hijo] tuyo	dev
SUBJ;PROF;PLUR	All the professors at my certification courses have had published articles in one of the most prestigious magazine.	Todas las profesoras de mi curso de certificación han publicado artículos en la prestigiosa revista.	Todos los profesores de mi curso de certificación han publicado artículos en la prestigiosa revista.	all the [professors]	todas las [profesoras]	todos los [profesores]	dev
SUBJ;PROF;PLUR;SCMP;OPRP;PLUR;DFCL	Astronauts know that families await their arrival.	Las astronautas saben que las familias esperan la llegada de ellas.	Los astronautas saben que las familias esperan la llegada de ellos.	astronauts=their	las [astronautas]=ellas	los [astronautas]=ellos	dev
IMPR;DOBJ;FAM;PLUR	Bring your cousins	¡Traigan a sus primas!	¡Traigan a sus primos!	cousins	primas	primos	dev
SUBJ;OTH;PLUR	Many proponents of gender equality seek to pursue this goal by promoting women's access to work and entrepreneurship opportunities, and increasing women's political participation.	Muchas defensoras de la igualdad de género promueven la inclusión de objetivos relativos a un mayor acceso de las mujeres a las oportunidades de trabajo y la iniciativa empresarial, así como un aumento en la participación política de las mujeres.	Muchos defensores de la igualdad de género promueven la inclusión de objetivos relativos a un mayor acceso de las mujeres a las oportunidades de trabajo y la iniciativa empresarial, así como un aumento en la participación política de las mujeres.	many [proponents]	muchas [defensoras]	muchos [defensores]	dev
SUBJ;PLUR;APRD;PPA;PLUR	Some feel forced to control their finances in order to survive due to unforeseen circumstances in their lives, such as unemployment.	Algunas se sienten forzadas a controlar sus finanzas para sobrevivir debido a circunstancias imprevistas en su vida, como el desempleo.	Algunos se sienten forzados a controlar sus finanzas para sobrevivir debido a circunstancias imprevistas en su vida, como el desempleo.	some=forced	algunas=forzadas	algunos=forzados	dev
SUBJ;OTH;PLUR	Two witnesses place him at the scene of tonight's fire.	Dos de las testigos le sitúan en la escena del incendio de esta noche.	Dos de los testigos le sitúan en la escena del incendio de esta noche.	two [witnesses]	dos de las [testigos]	dos de los [testigos]	dev
OPRP;PROF	At a less advanced time of the year, the typhoon, according to the words of a famous meteorologist, would have vanished in a luminous cascade of electric flare; but at the winter equinox it was to be feared that it would be unleashed with violence.	En una época menos avanzada del año, el tifón, según expresiones de una célebre meteoróloga, se hubiera desvanecido en cascada luminosa de llamarada eléctrica; pero en el equinoccio de invierno era de temer que se desencadenase con violencia.	En una época menos avanzada del año, el tifón, según expresiones de un célebre meteorólogo, se hubiera desvanecido en cascada luminosa de llamarada eléctrica; pero en el equinoccio de invierno era de temer que se desencadenase con violencia.	famous [meteorologist]	una célebre [meteoróloga]	un célebre [meteorólogo]	dev
SUBJ;PROF	The presenter can use this setting to mute all the audio participants in the conference and put the conference in a state where non-presenters cannot unmute themselves.	La moderadora puede usar esta opción para desactivar el audio de todos los participantes en la conferencia y poner la conferencia en un estado en el que los participantes que no son moderadores no puedan activar su audio.	El moderador puede usar esta opción para desactivar el audio de todos los participantes en la conferencia y poner la conferencia en un estado en el que los participantes que no son moderadores no puedan activar su audio.	presenter	la [moderadora]	el [moderador]	dev
SUBJ;OTH;PLUR	Skiers need skis and poles.	Las esquiadoras necesitan esquís y bastones.	Los esquiadores necesitan esquís y bastones.	skiers	las [esquiadoras]	los [esquiadores]	dev
SUBJ;OTH;APRD;PPA	The thief escaped in disguise.	La ladrona se fugó disfrazada.	El ladrón se fugó disfrazado.	thief=in disguise	la [ladrona]=disfrazada	el [ladrón]=disfrazado	dev
SUBJ;NAT	The Italian won the gold medal.	La italiana ganó la medalla de oro.	El italiano ganó la medalla de oro.	italian	la [italiana]	el [italiano]	dev
QUES;SCMP;SUBJ;OTH	Is there any real accountability, if a responsible person clearly refuses to leave when accountability has been questioned?	¿Existe realmente alguna responsabilidad cuando la responsable se niega abiertamente a salir, tras ser cuestionada su responsabilidad?	¿Existe realmente alguna responsabilidad cuando el responsable se niega abiertamente a salir, tras ser cuestionada su responsabilidad?	[responsible person]	la [responsable]	el [responsable]	dev
SUBJ;PROF;PLUR;SCMP;AATR;PLUR;DFCL	Because of this approach, near-graduates think they are slow and on the wrong course.	Debido a este enfoque, las casi graduadas piensan que son lentas y que están en el curso equivocado.	Debido a este enfoque, los casi graduados piensan que son lentos y que están en el curso equivocado.	near-graduates=slow	las [casi graduadas]=lentas	los [casi graduados]=lentos	dev
SCMP;SUBJ;PROF	The key to winning is to anticipate what your opponent will do, to be two moves ahead.	La clave para ganar es anticipar lo que hará tu opositora, ir dos movimientos por delante.	La clave para ganar es anticipar lo que hará tu opositor, ir dos movimientos por delante.	opponent	opositora	opositor	dev
SUBJ;PROF;PLUR	Teachers have been helping to serve lunches to lessen cross contamination and adding more tables to spread out.	Las maestras han ayudado a servir los almuerzos para reducir la contaminación cruzada y han añadido más mesas para repartir.	Los maestros han ayudado a servir los almuerzos para reducir la contaminación cruzada y han añadido más mesas para repartir.	teachers	las [maestras]	los [maestros]	dev
SUBJ;PROF;PLUR;DOBJ;PLUR	As has been pointed out, we have also taken care of the interests of animals and, indeed, the interests of humans, though there seem to be some Members of this Parliament who think that animal rights are more important than human rights.	Como ya se ha señalado, también hemos velado por los intereses de los animales y también, ciertamente, por los intereses de los humanos, aunque entre las diputadas de esta Cámara parece haber algunas que consideran más importantes los derechos de los animales que los derechos humanos.	Como ya se ha señalado, también hemos velado por los intereses de los animales y también, ciertamente, por los intereses de los humanos, aunque entre los diputados de esta Cámara parece haber algunos que consideran más importantes los derechos de los animales que los derechos humanos.	some=members	las [diputadas]=algunas	los [diputados]=algunos	dev
SUBJ;REL	The apostle does not want to have it all.	La apóstol no quiere tenerlo todo.	El apóstol no quiere tenerlo todo.	apostle	la [apóstol]	el [apóstol]	dev
SUBJ;DROP;RSCMP;OTH	I am his favorite.	Soy su favorita.	Soy su favorito.	I=favorite	(yo)=favorita	(yo)=favorito	dev
SCMP;SUBJ;PROF;PLUR	The best supplies and see that the waiters wash their gloves, okay?	Las mejores provisiones y procure que las camareras se laven los guantes, ¿de acuerdo?	Las mejores provisiones y procure que los camareros se laven los guantes, ¿de acuerdo?	waiters	las [camareras]	los [camareros]	dev
OPRP;OTH	Don't sit passively on the shore as a spectator.	No te sientes pasivamente en la orilla como una espectadora.	No te sientes pasivamente en la orilla como un espectador.	spectator	una [espectadora]	un [espectador]	dev
SCMP;SUBJ;FAM	She knew her neighbor had said it.	Sabía que lo había dicho la vecina.	Sabía que lo había dicho el vecino.	neighbor	la [vecina]	el [vecino]	dev
DOBJ;NAT;PROF;DIFF	And I heard a short while ago, at a meeting held in this very building, that the Israeli ambassador recognizes and welcomes this fact.	Y acabo de oír, en una reunión que se celebraba en esta misma sede, a la embajadora israelí reconocerlo y agradecerlo.	Y acabo de oír, en una reunión que se celebraba en esta misma sede, al embajador israelí reconocerlo y agradecerlo.	israeli [ambassador]	a la [embajadora] israelí	al [embajador] israelí	dev
SUBJ;PROF	The nurse will be right in.	La enfermera vendrá en seguida.	El enfermero vendrá en seguida.	nurse	la [enfermera]	el [enfermero]	dev
DOBJ;FAM	I would like to invite my cousin to my going away party.	Me gustaría invitar a mi prima a mi fiesta de despedida.	Me gustaría invitar a mi primo a mi fiesta de despedida.	cousin	prima	primo	dev
SUBJ;OTH;PLUR	In such situations, most users choose to delete these corrupt files without trying to fix them, but what about when your files are among some of major importance which, unfortunately, we have made backups?	En tales situaciones, la mayoría de las usuarias optan por eliminar estos archivos corruptos sin tratar de arreglarlo, pero ¿qué pasa cuando los archivos se encuentran entre algunos de gran importancia que, por desgracia, hemos hecho copias de seguridad?	En tales situaciones, la mayoría de los usuarios optan por eliminar estos archivos corruptos sin tratar de arreglarlo, pero ¿qué pasa cuando los archivos se encuentran entre algunos de gran importancia que, por desgracia, hemos hecho copias de seguridad?	most [users]	la mayoría de las [usuarias]	la mayoría de los [usuarios]	dev
SUBJ;PROF	The anesthesiologist told the parents what you did.	La anestesióloga les comentó a los padres lo que usted hizo.	El anestesiólogo les comentó a los padres lo que usted hizo.	anesthesiologist	la [anestesióloga]	el [anestesiólogo]	dev
FRAG;SUBJ;PROF;SUBJ;PROF;PLUR;DFCL	...at first a simple carpenter, afterwards one of the most famous sculptors in the land of great artists.	...primero una simple carpintera, después una de las más famosas escultoras del país de los grandes artistas.	...primero un simple carpintero, después uno de los más famosos escultores del país de los grandes artistas.	simple [carpenter]=one of the most famous [sculptors]	una simple [carpintera]=una de las más famosas [escultoras]	un simple [carpintero]=uno de los más famosos [escultores]	dev
SUBJ;OTH;PPA;PLUR	The arriving travelers went to the restaurant.	Las viajeras llegadas fueron al restaurante.	Los viajeros llegados fueron al restaurante.	arriving [travelers]	las [viajeras] llegadas	los [viajeros] llegados	dev
SCMP;IOBJ;PROF;PLUR	Our internship programs are designed to provide future graduates with practical, real-world insight to complement classroom education.	Nuestros programas de pasantías están diseñados para proporcionar a las futuras graduadas una visión práctica en el mundo real que complemente la educación en las clases.	Nuestros programas de pasantías están diseñados para proporcionar a los futuros graduados una visión práctica en el mundo real que complemente la educación en las clases.	future [graduates]	las futuras [graduadas]	los futuros [graduados]	dev
SCMP;SUBJ;OTH;PLUR	If it is the latter, then it is my clear view that citizens and voters in referenda will see through the pretense.	Si es esto lo que querían, entonces confío sinceramente en que las ciudadanas y los que participen en algún referéndum sepan ver claro.	Si es esto lo que querían, entonces confío sinceramente en que los ciudadanos y los que participen en algún referéndum sepan ver claro.	citizens	las [ciudadanas]	los [ciudadanos]	dev
SCMP;SUBJ;POSS;POSC;PROF;PLUR;SCMP;APRD;PPA;PLUR	Our colleagues were, it seemed to me, wrongly interrupted and so I gave them an extra twenty to thirty seconds.	Me ha parecido que nuestras colegas se habían visto intempestivamente interrumpidas y les he concedido veinte o treinta segundos más.	Me ha parecido que nuestros colegas se habían visto intempestivamente interrumpidos y les he concedido veinte o treinta segundos más.	our [colleagues]=wrongly interrupted	nuestras [colegas]=intempestivamente interrumpidas	nuestros [colegas]=intempestivamente interrumpidos	dev
SUBJ;PROF;PLUR	So these tourism operators have no reason to fear the euro.	Así, pues, estas operadoras turísticas no tienen motivos para recelar del euro.	Así, pues, estos operadores turísticos no tienen motivos para recelar del euro.	these tourism [operators]	estas [operadoras] turísticas	estos [operadores] turísticos	dev
SCMP;DOBJ;PROF	Well, you know that I was seeing that herbalist, right?	Sabes que veía a una herbolaria, ¿no?	Sabes que veía a un herbolario, ¿no?	herbalist	una [herbolaria]	un [herbolario]	dev
SCMP;IOBJ;PROF;DIFF	Hopefully the doctor won't mind.	Esperemos que a la médica no le importe.	Esperemos que al médico no le importe.	doctor	a la [médica]	al [médico]	dev
QUES;SCMP;SUBJ;PROF;PLUR	What are the main things the coaches are working on with you?	¿Cuáles son las cosas principales en que las entrenadoras están trabajando contigo?	¿Cuáles son las cosas principales en que los entrenadores están trabajando contigo?	coaches	las [entrenadoras]	los [entrenadores]	dev
SUBJ;PROF	My carpenter, who made this piece of furniture, will come to measure the room to make me a bed.	Mi carpintera, quien hizo este mueble, vendrá a medir la habitación para hacerme una cama.	Mi carpintero, quien hizo este mueble, vendrá a medir la habitación para hacerme una cama.	carpenter	carpintera	carpintero	dev
SUBJ;PROF	Of course, the umpire could always reverse the decision.	Por supuesto, la árbitra siempre puede cambiar la decisión.	Por supuesto, el árbitro siempre puede cambiar la decisión.	umpire	la [árbitra]	el [árbitro]	dev
SUBJ;DROP;APRD;PPA	I was so distressed that to fill this spiritual void I decided to follow a daily rhythm.	Me encontraba tan acongojada, que para llenar ese vacío espiritual decidí seguir un rito diario.	Me encontraba tan acongojado, que para llenar ese vacío espiritual decidí seguir un rito diario.	I=so distressed	(yo)=tan acongojada	(yo)=tan acongojado	dev
SUBJ;ANAN;PROF	The handsome model debuted yesterday as a runway model.	La guapa modelo debutó ayer como modelo de pasarela.	El guapo modelo debutó ayer como modelo de pasarela.	handsome [model]	la guapa [modelo]	el guapo [modelo]	dev
QUES;SUBJ;POSS;POSC;OTH;PLUR	What is important is: do our citizens understand the philosophical, ethical and cultural project in which we are engaged for the 21st century?	Lo que sí es importante es lo siguiente: ¿comprenden nuestras ciudadanas el proyecto filosófico, ético y cultural en que nos hemos embarcado para el siglo XXI?	Lo que sí es importante es lo siguiente: ¿comprenden nuestros ciudadanos el proyecto filosófico, ético y cultural en que nos hemos embarcado para el siglo XXI?	our [citizens]	nuestras [ciudadanas]	nuestros [ciudadanos]	dev
SUBJ;PROF	The teacher got tired of the disrespect.	La profesora se cansó de las faltas de respeto.	El profesor se cansó de las faltas de respeto.	teacher	la [profesora]	el [profesor]	dev
DOBJ;PROF;DIFF	An in-house cook is available.	Hay una cocinera interna.	Hay un cocinero interno.	in-house [cook]	una [cocinera] interna	un [cocinero] interno	dev
SUBJ;POSS;POSC;PROF;PLUR	Our designers have crafted stylish interiors with perfectly matched colours, materials and finishes.	Nuestras diseñadoras han creado una selección de interiores muy elegantes, con colores, materiales y acabados que combinan a la perfección.	Nuestros diseñadores han creado una selección de interiores muy elegantes, con colores, materiales y acabados que combinan a la perfección.	our [designers]	nuestras [diseñadoras]	nuestros [diseñadores]	dev
SCMP;SUBJ;OTH;PLUR	There is also a contradiction in the way the supporters of this directive are putting it forward.	También hay una contradicción en la forma en que las seguidoras de esta directiva la apoyan.	También hay una contradicción en la forma en que los seguidores de esta directiva la apoyan.	supporters	las [seguidoras]	los [seguidores]	dev
SUBJ;PROF	The great guitarist is giving a concert in a small pub or small venue.	La gran guitarrista está dando un concierto en un pequeño pub o pequeño local.	El gran guitarrista está dando un concierto en un pequeño pub o pequeño local.	great [guitarist]	la gran [guitarrista]	el gran [guitarrista]	dev
SCMP;SUBJ;OTH;PLUR	We need effective labelling, effective and comprehensive testing and pharmaceutical advice if patients are to make a genuine, informed choice about over-the-counter prescriptions.	Hacen falta un etiquetado eficaz, unas pruebas eficaces y exhaustivas y el asesoramiento farmacéutico si queremos que la paciente haga una elección auténtica y con conocimiento de causa entre los medicamentos de venta libre.	Hacen falta un etiquetado eficaz, unas pruebas eficaces y exhaustivas y el asesoramiento farmacéutico si queremos que el paciente haga una elección auténtica y con conocimiento de causa entre los medicamentos de venta libre.	patients	la [paciente]	el [paciente]	dev
SUBJ;PROF;AATR;PPA	Upon hearing the bad news, the saxophonist got distressed and stopped playing.	Ante la mala noticia, la saxofonista estaba muy abatida y dejó de tocar.	Ante la mala noticia, el saxofonista estaba muy abatido y dejó de tocar.	saxophonist=distressed	la [saxofonista]=muy abatida	el [saxofonista]=muy abatido	dev
SUBJ;OTH	A disciple finds meaning in even the smallest gesture.	Una discípula encuentra significado incluso en el gesto más pequeño.	Un discípulo encuentra significado incluso en el gesto más pequeño.	disciple	una [discípula]	un [discípulo]	dev
SUBJ;PROF	The writer did not want to elaborate on this point.	La escritora no quiso profundizar en ese punto.	El escritor no quiso profundizar en ese punto.	writer	la [escritora]	el [escritor]	dev
SCMP;SUBJ;PROF;PLUR	It is important that teachers have time to familiarise themselves with new methods of teaching and that they fully understand the possibilities.	Es importante que las profesoras dispongan de tiempo para acostumbrarse a los nuevos métodos de enseñanza y descubrir nuevas posibilidades.	Es importante que los profesores dispongan de tiempo para acostumbrarse a los nuevos métodos de enseñanza y descubrir nuevas posibilidades.	teachers	las [profesoras]	los [profesores]	dev
FRAG;SCMP;SUBJ;PROF	I do not care if the auditor had a bad journey and did not find the hotel comfortable;	No me importa que la auditora tuviera tal vez un mal viaje y no le pareciese confortable el hotel;	No me importa que el auditor tuviera tal vez un mal viaje y no le pareciese confortable el hotel;	auditor	la [auditora]	el [auditor]	dev
SUBJ;PROF	This president can ask us to be patient.	Esta presidenta nos puede pedir que seamos pacientes.	Este presidente nos puede pedir que seamos pacientes.	this [president]	esta [presidenta]	este [presidente]	dev
SCMP;SUBJ;PROF	That's what the doctor says, that's why they consider that to be one of the reasons.	Es lo que dice la doctora, que es por eso que ellos consideran que es una de las razones.	Es lo que dice el doctor, que es por eso que ellos consideran que es una de las razones.	doctor	la [doctora]	el [doctor]	dev
SUBJ;OTH	We, the people, still believe that every citizen deserves a basic measure of security and dignity.	Nosotros, el pueblo, seguimos creyendo que toda ciudadana merece seguridad y dignidad.	Nosotros, el pueblo, seguimos creyendo que todo ciudadano merece seguridad y dignidad.	every [citizen]	toda [ciudadana]	todo [ciudadano]	dev
SUBJ;OTH	A candidate whose average academic score of past two years is above 2.30, out of 3.00.	Una candidata cuyo puntaje académico de los dos años anteriores está por encima de 2,30, de 3,00.	Un candidato cuyo puntaje académico de los dos años anteriores está por encima de 2,30, de 3,00.	candidate	una [candidata]	un [candidato]	dev
SCMP;SUBJ;OTH;PLUR;SCMP;AATR;PLUR	Let me say also that the customers are not happy.	Déjenme decir además que las clientas no están contentas.	Déjenme decir además que los clientes no están contentos.	customers=not happy	las [clientas]=contentas	los [clientes]=contentos	dev
SUBJ;PROF	This mysterious charming musician wears incredible clothing .	Esta misteriosa simpática música usa ropa increíble.	Este misterioso simpático músico usa ropa increíble.	this mysterious charming [musician]	esta misteriosa simpática [música]	este misterioso simpático [músico]	dev
SUBJ;FAM;PLUR	So children raise these philosophical questions.	Las niñas se plantean estas cuestiones filosóficas.	Los niños se plantean estas cuestiones filosóficas.	children	las [niñas]	los [niños]	dev
SUBJ;NAT;PROF	Tunisian prime minister accepts his resignation and the peaceful transfer of power	La primera ministra tunecina acepta su cese y el traspaso pacífico de poderes	El primer ministro tunecino acepta su cese y el traspaso pacífico de poderes	tunisian [prime minister]	la [primera ministra] tunecina	el [primer ministro] tunecino	dev
SCMP;SUBJ;FAM;PLUR	Please note that your friends will have access to the private parking only if they arrive during reception opening hours.	Tus amigas solo tienen acceso al aparcamiento privado si llegan durante el horario de recepción.	Tus amigos solo tienen acceso al aparcamiento privado si llegan durante el horario de recepción.	friends	amigas	amigos	dev
SUBJ;OTH;PLUR;AATR;PPA;PLUR	Last month, the suspects were tried in a Spanish court.	El mes pasado, las sospechosas fueron juzgadas en un tribunal español.	El mes pasado, los sospechosos fueron juzgados en un tribunal español.	suspects=tried	las [sospechosas]=juzgadas	los [sospechosos]=juzgados	dev
SCMP;SUBJ;PROF;PLUR	I made a pyramid scheme to show you the variety of issues that conservatives oppose.	Hice un esquema piramidal para enseñaros la variedad de los temas a los cuales las conservadoras se oponen.	Hice un esquema piramidal para enseñaros la variedad de los temas a los cuales los conservadores se oponen.	conservative	las [conservadoras]	los [conservadores]	dev
SUBJ;FAM;PLUR;AATR;PPA;PLUR	Many parents are all too familiar with this kind of comment.	Muchas madres están familiarizadas con este tipo de comentario.	Muchos padres están familiarizados con este tipo de comentario.	many [parents]=familiar	muchas [madres]=familiarizadas	muchos [padres]=familiarizados	dev
SUBJ;FAM;PLUR	The children, who are crying, will not be able to watch the new program.	Las niñas, que están llorando, no podrán ver el nuevo programa.	Los niños, que están llorando, no podrán ver el nuevo programa.	children	las [niñas]	los [niños]	dev
SUBJ;PROF;PLUR	The two teachers were in silent ecstasy.	Las dos profesoras estaban en éxtasis silencioso.	Los dos profesores estaban en éxtasis silencioso.	two [teachers]	las dos [profesoras]	los dos [profesores]	dev
