labels	source	ff	fm	mf	mm	kw_s	kw_f	kw_m
ANAN;SUBJ;PLUR;PROF;GLNK	On this bright autumn day, in the village community centre, economists and extension practitioners are testing a questionnaire on traditional food crops, their preparation and qualities.	En cette belle journée d’automne, dans la salle municipale du village, économistes et vulgarisatrices testent un questionnaire sur les cultures vivrières traditionnelles, leur préparation et leurs qualités.	En cette belle journée d’automne, dans la salle municipale du village, économistes et vulgarisateurs testent un questionnaire sur les cultures vivrières traditionnelles, leur préparation et leurs qualités.	En cette belle journée d’automne, dans la salle municipale du village, économistes et vulgarisatrices testent un questionnaire sur les cultures vivrières traditionnelles, leur préparation et leurs qualités.	En cette belle journée d’automne, dans la salle municipale du village, économistes et vulgarisateurs testent un questionnaire sur les cultures vivrières traditionnelles, leur préparation et leurs qualités.	economists;practitioners	économistes;vulgarisatrices	économistes;vulgarisateurs
SUBJ;PLUR;ANAN;NAT;OPRP;PROF	The Ecuadorians disagree with the poster from the publicist on the new constitution that bans patenting products related to the country's biodiversity.	Les Équatoriennes sont en désaccord avec l’affiche de la publiciste sur la nouvelle constitution qui interdit de breveter des produits liés à la biodiversité du pays.	Les Équatoriennes sont en désaccord avec l’affiche du publiciste sur la nouvelle constitution qui interdit de breveter des produits liés à la biodiversité du pays.	Les Équatoriens sont en désaccord avec l’affiche de la publiciste sur la nouvelle constitution qui interdit de breveter des produits liés à la biodiversité du pays.	Les Équatoriens sont en désaccord avec l’affiche du publiciste sur la nouvelle constitution qui interdit de breveter des produits liés à la biodiversité du pays.	Ecuadorians;publicist	Équatoriennes;de la [publiciste]	Équatoriens;du [publiciste]
ANAN;SUBJ;PLUR;PROF;GLNK	For the day's press review, editors and correspondents comb through the most important print and online media from 28 countries and select opinion articles, reflections, essays and commentaries.	Pour la revue de presse du jour, éditrices et correspondantes passent en revue les médias papier et en ligne les plus importants de 28 pays et sélectionnent des articles d’opinion, des réflexions, essais et commentaires.	Pour la revue de presse du jour, éditrices et correspondants passent en revue les médias papier et en ligne les plus importants de 28 pays et sélectionnent des articles d’opinion, des réflexions, essais et commentaires.	Pour la revue de presse du jour, éditeurs et correspondantes passent en revue les médias papier et en ligne les plus importants de 28 pays et sélectionnent des articles d’opinion, des réflexions, essais et commentaires.	Pour la revue de presse du jour, éditeurs et correspondants passent en revue les médias papier et en ligne les plus importants de 28 pays et sélectionnent des articles d’opinion, des réflexions, essais et commentaires.	editors;correspondents	éditrices;correspondantes	éditeurs;correspondants
SUBJ;PLUR;SCMP;FAM	The most educated are seldom the younger.	Les plus instruites sont rarement les cadettes.	Les plus instruites sont rarement les cadets.	Les plus instruits sont rarement les cadettes.	Les plus instruits sont rarement les cadets.	educated;younger	instruites;cadettes	instruits;cadets
SUBJ;PLUR;DOBJ;FAM	My elder is expecting quadruplets!	Mon aînée attend des quadruplées !	Mon aînée attend des quadruplés !	Mon aîné attend des quadruplées !	Mon aîné attend des quadruplés !	elder;quadruplets	aînée;quadruplées	aîné;quadruplés
SUBJ;PLUR;FAM;ANAN;OPRP;PERS	The elders of the rural district, who had served together for fourteen years, never signed a single document for them.	Les anciennes du district rural, qui avaient servi ensemble pendant quatorze ans, n’ont jamais signé un seul document pour elles.	Les anciennes du district rural, qui avaient servi ensemble pendant quatorze ans, n’ont jamais signé un seul document pour eux.	Les anciens du district rural, qui avaient servi ensemble pendant quatorze ans, n’ont jamais signé un seul document pour elles.	Les anciens du district rural, qui avaient servi ensemble pendant quatorze ans, n’ont jamais signé un seul document pour eux.	elders;them	anciennes;elles	anciens;eux
SUBJ;NAT;SCMP	Is an Emirati a Bedouin?	Est-ce qu’une Émiratie est une Bédouine ?	Est-ce qu’une Émiratie est un Bédouin ?	Est-ce qu’un Émirati est une Bédouine ?	Est-ce qu’un Émirati est un Bédouin ?	Emirati;Bedouin	une [Émiratie];une [Bédouine]	un [Émirati];un [Bédouin]
SUBJ;PLUR;ANAN;DFCL;NAT;OPRP;PROF	It is the highest distinction an emissary can receive from Panamanians.	C’est la plus haute distinction qu’une émissaire puisse recevoir des Panaméennes.	C’est la plus haute distinction qu’une émissaire puisse recevoir des Panaméens.	C’est la plus haute distinction qu’un émissaire puisse recevoir des Panaméennes.	C’est la plus haute distinction qu’un émissaire puisse recevoir des Panaméens.	emissary;Panamanians	une [émissaire];Panaméennes	un [émissaire];Panaméens
PLUR;IOBJ;OTH;DOBJ	The ability to infect, slow and terrify their enemies gives these troublemakers unprecedented control.	La capacité d’infecter, de ralentir et de terrifier leurs ennemies donne à ces fauteuses de troubles un contrôle sans précédent.	La capacité d’infecter, de ralentir et de terrifier leurs ennemies donne à ces fauteurs de troubles un contrôle sans précédent.	La capacité d’infecter, de ralentir et de terrifier leurs ennemis donne à ces fauteuses de troubles un contrôle sans précédent.	La capacité d’infecter, de ralentir et de terrifier leurs ennemis donne à ces fauteurs de troubles un contrôle sans précédent.	enemies;troublemakers	ennemies;fauteuses	ennemis;fauteurs
DFCL;PLUR;AATR;ANAN;IOBJ;SCMP;PROF	Our team consists of three engineers, a loose structure that offers a level of service and flexibility to tour operators.	Notre équipe est composée de trois ingénieures, une structure souple qui offre un niveau de service et de flexibilité aux voyagistes.	Notre équipe est composée de trois ingénieures, une structure souple qui offre un niveau de service et de flexibilité aux voyagistes.	Notre équipe est composée de trois ingénieurs, une structure souple qui offre un niveau de service et de flexibilité aux voyagistes.	Notre équipe est composée de trois ingénieurs, une structure souple qui offre un niveau de service et de flexibilité aux voyagistes.	engineers;operators	ingénieures;voyagistes	ingénieurs;voyagistes
SUBJ;PLUR;DOBJ;OTH;NAT	The English love to watch mimes.	Les Anglaises adorent regarder les mimes.	Les Anglaises adorent regarder les mimes.	Les Anglais adorent regarder les mimes.	Les Anglais adorent regarder les mimes.	English;mimes	Anglaises;mimes	Anglais;mimes
SUBJ;PLUR;DOBJ;ANAN;OTH;DEMO	The Academy entrance exams determine the entrants who succeeded and those who did not get good scores.	Les examens d’entrée de l’Académie déterminent les candidates qui ont réussi et celles qui n’ont pas eu de bons résultats.	Les examens d’entrée de l’Académie déterminent les candidates qui ont réussi et ceux qui n’ont pas eu de bons résultats.	Les examens d’entrée de l’Académie déterminent les candidats qui ont réussi et celles qui n’ont pas eu de bons résultats.	Les examens d’entrée de l’Académie déterminent les candidats qui ont réussi et ceux qui n’ont pas eu de bons résultats.	entrants;those	candidates;celles	candidats;ceux
ANAN;IOBJ;OTH;AATR	A punitive expedition which will provide the same fate for every murderer and assassin.	Une expédition punitive qui apportera le même sort à toute meurtrière et assassine.	Une expédition punitive qui apportera le même sort à toute meurtrière et assassin.	Une expédition punitive qui apportera le même sort à tout meurtrier et assassine.	Une expédition punitive qui apportera le même sort à tout meurtrier et assassin.	every [murderer];assassin	toute [meurtrière];assassine	tout [meurtrier];assassin
SUBJ;OTH;AATR;OPRP;PROF	Every photographer would agree with this shutterbug's statement.	Toute photographe serait d’accord avec la déclaration de cette passionnée de photos.	Toute photographe serait d’accord avec la déclaration de ce passionné de photos.	Tout photographe serait d’accord avec la déclaration de cette passionnée de photos.	Tout photographe serait d’accord avec la déclaration de ce passionné de photos.	every [photographer];this [shutterbug]	toute [photographe];cette [passionnée]	tout [photographe];ce [passionné]
ANAN;SUBJ;IOBJ;REL	The evolutionist paid close attention to the agnostic.	L’évolutionniste a prêté une grande attention à l’agnostique.	L’évolutionniste a prêté une grande attention à l’agnostique.	L’évolutionniste a prêté une grande attention à l’agnostique.	L’évolutionniste a prêté une grande attention à l’agnostique.	evolutionist;agnostic	évolutionniste;agnostique	évolutionniste;agnostique
SUBJ;PLUR;ANAN;IOBJ;NAT;AATR;PROF	A few examiners paid visit to the Namibian during harvest to certify that grapes are exported according to the standards of importing countries.	Quelques examinatrices ont rendu visite à la Namibienne pendant la récolte pour certifier que les raisins sont exportés selon les normes des pays importateurs.	Quelques examinatrices ont rendu visite au Namibien pendant la récolte pour certifier que les raisins sont exportés selon les normes des pays importateurs.	Quelques examinateurs ont rendu visite à la Namibienne pendant la récolte pour certifier que les raisins sont exportés selon les normes des pays importateurs.	Quelques examinateurs ont rendu visite au Namibien pendant la récolte pour certifier que les raisins sont exportés selon les normes des pays importateurs.	examiners;Namibian	examinatrices;à la [Namibienne]	examinateurs;au [Namibien]
ANAN;SUBJ;PLUR;PROF;GLNK	A good number of executives and entrepreneurs have reported that their overall stress level has increased in the last year.	Les cadres et entrepreneuses ont indiqué que leur niveau de stress global avait augmenté cette dernière année.	Les cadres et entrepreneurs ont indiqué que leur niveau de stress global avait augmenté cette dernière année.	Les cadres et entrepreneuses ont indiqué que leur niveau de stress global avait augmenté cette dernière année.	Les cadres et entrepreneurs ont indiqué que leur niveau de stress global avait augmenté cette dernière année.	executives;entrepreneurs	cadres;entrepreneuses	cadres;entrepreneurs
SUBJ;DOBJ;ANAN;OTH;NAT	According to local legend, an explorer captured an Indian from the other side of the sea.	Selon la légende locale, une exploratrice a capturé une Indienne de l’autre côté de la mer.	Selon la légende locale, une exploratrice a capturé un Indien de l’autre côté de la mer.	Selon la légende locale, un explorateur a capturé une Indienne de l’autre côté de la mer.	Selon la légende locale, un explorateur a capturé un Indien de l’autre côté de la mer.	explorer;Indian	une [exploratrice];une [Indienne]	un [explorateur];un [Indien]
ANAN;SUBJ;DOBJ;FAM	The facilitator can ask the intended about illnesses, treatments and other health problems.	La facilitatrice peut interroger la fiancée sur les maladies, les traitements et autres problèmes de santé.	La facilitatrice peut interroger le fiancé sur les maladies, les traitements et autres problèmes de santé.	Le facilitateur peut interroger la fiancée sur les maladies, les traitements et autres problèmes de santé.	Le facilitateur peut interroger le fiancé sur les maladies, les traitements et autres problèmes de santé.	facilitator;intended	la [facilitatrice];la [fiancée]	le [facilitateur];le [fiancé]
ANAN;IOBJ;OTH;GLNK	It is designed to give the fan or admirer a way to remix music.	Il est conçu pour donner à la fan ou à l’admiratrice un moyen de remixer de la musique.	Il est conçu pour donner à la fan ou à l’admirateur un moyen de remixer de la musique.	Il est conçu pour donner au fan ou à l’admiratrice un moyen de remixer de la musique.	Il est conçu pour donner au fan ou à l’admirateur un moyen de remixer de la musique.	fan;admirer	à la [fan];admiratrice	au [fan];admirateur
SUBJ;PROF;DOBJ	The farmer accused the controller and the laboratory.	L’agricultrice a accusé la contrôleuse et le laboratoire.	L’agricultrice a accusé le contrôleur et le laboratoire.	L’agriculteur a accusé la contrôleuse et le laboratoire.	L’agriculteur a accusé le contrôleur et le laboratoire.	farmer;controller	agricultrice;la [contrôleuse]	agriculteur;le [contrôleur]
SUBJ;PLUR;FAM;ANAN;DFCL;PERS	Their fellows say they have extreme opinions.	Leurs consœurs disent qu’elles ont des opinions extrêmes.	Leurs consœurs disent qu’ils ont des opinions extrêmes.	Leurs confrères disent qu’elles ont des opinions extrêmes.	Leurs confrères disent qu’ils ont des opinions extrêmes.	fellows;they	consœurs;elles	confrères;ils
SUBJ;NAT;PLUR;DFCL	A few think that Cape Verdeans do that.	Quelques-unes pensent que les Cap-Verdiennes font cela.	Quelques-unes pensent que les Cap-Verdiens font cela.	Quelques-uns pensent que les Cap-Verdiennes font cela.	Quelques-uns pensent que les Cap-Verdiens font cela.	few;Verdeans	quelques-unes;Cap-Verdiennes	quelques-uns;Cap-Verdiens
SUBJ;PLUR;OTH;IPRO	These fighters have as much potential as their equals.	Ces combattantes ont autant de potentiel que leurs égales.	Ces combattantes ont autant de potentiel que leurs égaux.	Ces combattants ont autant de potentiel que leurs égales.	Ces combattants ont autant de potentiel que leurs égaux.	fighters;equals	combattantes;égales	combattants;égaux
SUBJ;PLUR;PROF;ANAN;DFCL;AATR;OPRP	This instinct comes into play, for example when a financier chooses to extend credit to smaller struggling enterprises, when dealing with fewer but larger borrowers would appear to be more profitable.	Cet instinct entre en scène, par exemple quand une financière choisit de consentir un crédit à de petites entreprises en difficulté, quand l’interaction avec moins mais de plus grandes emprunteuses semblerait bien plus avantageuse.	Cet instinct entre en scène, par exemple quand une financière choisit de consentir un crédit à de petites entreprises en difficulté, quand l’interaction avec moins mais de plus grands emprunteurs semblerait bien plus avantageuse.	Cet instinct entre en scène, par exemple quand un financier choisit de consentir un crédit à de petites entreprises en difficulté, quand l’interaction avec moins mais de plus grandes emprunteuses semblerait bien plus avantageuse.	Cet instinct entre en scène, par exemple quand un financier choisit de consentir un crédit à de petites entreprises en difficulté, quand l’interaction avec moins mais de plus grands emprunteurs semblerait bien plus avantageuse.	financier;larger [borrowers]	une [financière];grandes [emprunteuses]	un [financier];grands [emprunteurs]
PLUR;SUBJ;IOBJ;FAM;IPRO	The first-born has to protect and teach the others.	La première-née doit protéger et apprendre aux autres.	La première-née doit protéger et apprendre aux autres.	Le premier-né doit protéger et apprendre aux autres.	Le premier-né doit protéger et apprendre aux autres.	first-born;others	la [première-née];autres	le [premier-né];autres
SUBJ;PLUR;FAM;OPRP;DEMO	Flirts are a problem for those who do not fall under their charm.	Les dragueuses sont un problème pour celles qui ne tombent pas sous leur charme.	Les dragueuses sont un problème pour ceux qui ne tombent pas sous leur charme.	Les dragueurs sont un problème pour celles qui ne tombent pas sous leur charme.	Les dragueurs sont un problème pour ceux qui ne tombent pas sous leur charme.	flirts;those	dragueuses;celles	dragueurs;ceux
SUBJ;NAT;OPRP;IPRO	Floridian is the demonym for someone from Florida.	Floridienne est le démonyme pour quelqu’une de la Floride.	Floridienne est le démonyme pour quelqu’un de la Floride.	Floridien est le démonyme pour quelqu’une de la Floride.	Floridien est le démonyme pour quelqu’un de la Floride.	Floridian;someone	Floridienne;quelqu’une	Floridien;quelqu’un
SUBJ;PLUR;FAM;IPRO	The folks are on your starting island but there is none occupying your city.	Les filles sont sur ton île de départ mais aucune n’occupe ta ville.	Les filles sont sur ton île de départ mais aucun n’occupe ta ville.	Les gars sont sur ton île de départ mais aucune n’occupe ta ville.	Les gars sont sur ton île de départ mais aucun n’occupe ta ville.	folks;none	filles;aucune	gars;aucun
IMPR;PLUR;FAM;OPRP	Honor the memory of your forebears and ancestors.	Honorez la mémoire de vos ascendantes et ancêtres.	Honorez la mémoire de vos ascendantes et ancêtres.	Honorez la mémoire de vos ascendants et ancêtres.	Honorez la mémoire de vos ascendants et ancêtres.	forebears;ancestors	ascendantes;ancêtres	ascendants;ancêtres
SUBJ;PLUR;DOBJ;ANAN;OTH	The founders of the Congress for the New Urbanism are at the forefront of this movement and fight daily to help the residents.	Les fondatrices du Congrès pour le nouvel urbanisme sont à la pointe de ce mouvement et se battent quotidiennement pour aider les riveraines.	Les fondatrices du Congrès pour le nouvel urbanisme sont à la pointe de ce mouvement et se battent quotidiennement pour aider les riverains.	Les fondateurs du Congrès pour le nouvel urbanisme sont à la pointe de ce mouvement et se battent quotidiennement pour aider les riveraines.	Les fondateurs du Congrès pour le nouvel urbanisme sont à la pointe de ce mouvement et se battent quotidiennement pour aider les riverains.	founders;residents	fondatrices;riveraines	fondateurs;riverains
SCMP;ANAN;OTH;DFCL;OPRP	There is always a fraudster trying to make quick money by taking advantage of the fear of an innocent.	Il y a toujours une fraudeuse qui essaie de faire de l’argent facile en profitant de la peur d’une innocente.	Il y a toujours une fraudeuse qui essaie de faire de l’argent facile en profitant de la peur d’un innocent.	Il y a toujours un fraudeur qui essaie de faire de l’argent facile en profitant de la peur d’une innocente.	Il y a toujours un fraudeur qui essaie de faire de l’argent facile en profitant de la peur d’un innocent.	fraudster;innocent	une [fraudeuse];une [innocente]	un [fraudeur];un [innocent]
ANAN;NAT;PLUR;OPRP;GLNK	Accessible and comfort cuisine inspired by the French and Quebecers.	Cuisine accessible et réconfortante inspirée par les Françaises et Québécoises.	Cuisine accessible et réconfortante inspirée par les Françaises et Québécois.	Cuisine accessible et réconfortante inspirée par les Français et Québécoises.	Cuisine accessible et réconfortante inspirée par les Français et Québécois.	French;Quebecers	Françaises;Québécoises	Français;Québécois
APRD;SUBJ;PLUR;DOBJ;FAM	Our friends must be able to contact their loved ones.	Nos amies doivent être capables de contacter leurs aimées.	Nos amies doivent être capables de contacter leurs aimés.	Nos amis doivent être capables de contacter leurs aimées.	Nos amis doivent être capables de contacter leurs aimés.	friends;loved	amies;aimées	amis;aimés
PLUR;PROF;DOBJ;ANAN;OPRP	Garden Partners sought to connect gardeners with horticulturists to form mutually beneficial partnerships.	Garden Partners a cherché à rapprocher des jardinières avec des horticultrices pour former des partenariats mutuellement bénéfiques.	Garden Partners a cherché à rapprocher des jardinières avec des horticulteurs pour former des partenariats mutuellement bénéfiques.	Garden Partners a cherché à rapprocher des jardiniers avec des horticultrices pour former des partenariats mutuellement bénéfiques.	Garden Partners a cherché à rapprocher des jardiniers avec des horticulteurs pour former des partenariats mutuellement bénéfiques.	gardeners;horticulturists	jardinières;horticultrices	jardiniers;horticulteurs
SUBJ;NAT;PLUR;FAM;ANAN;OPRP	The Gauls belonged to a clan governed by a chieftain.	Les Gauloises appartenaient à un clan gouverné par une cheffe.	Les Gauloises appartenaient à un clan gouverné par un chef.	Les Gaulois appartenaient à un clan gouverné par une cheffe.	Les Gaulois appartenaient à un clan gouverné par un chef.	Gauls;chieftain	Gauloises;une [cheffe]	Gaulois;un [chef]
SUBJ;PLUR;FAM;DFCL;OTH	Gawkers held their breath as the charmers played tunes with their pipes for the snakes.	Les badaudes retenaient leur souffle pendant que les charmeuses jouaient des airs avec leurs pipes pour les serpents.	Les badaudes retenaient leur souffle pendant que les charmeurs jouaient des airs avec leurs pipes pour les serpents.	Les badauds retenaient leur souffle pendant que les charmeuses jouaient des airs avec leurs pipes pour les serpents.	Les badauds retenaient leur souffle pendant que les charmeurs jouaient des airs avec leurs pipes pour les serpents.	gawkers;charmers	badaudes;charmeuses	badauds;charmeurs
SUBJ;PLUR;PROF;SCMP;ANAN;OTH	The generals were imbeciles to suggest such a strategy.	Les générales étaient des imbéciles pour suggérer une telle stratégie.	Les générales étaient des imbéciles pour suggérer une telle stratégie.	Les généraux étaient des imbéciles pour suggérer une telle stratégie.	Les généraux étaient des imbéciles pour suggérer une telle stratégie.	generals;imbeciles	générales;imbéciles	généraux;imbéciles
SUBJ;AATR;IOBJ;DFCL;OTH;NAT	The Georgian now knew what it felt like to be able to trust and rely on a good samaritan.	La Géorgienne savait maintenant ce que c’était que de pouvoir faire confiance et compter sur une bonne samaritaine.	La Géorgienne savait maintenant ce que c’était que de pouvoir faire confiance et compter sur un bon samaritain.	Le Géorgien savait maintenant ce que c’était que de pouvoir faire confiance et compter sur une bonne samaritaine.	Le Géorgien savait maintenant ce que c’était que de pouvoir faire confiance et compter sur un bon samaritain.	Georgian;good [samaritan]	la [Géorgienne];une bonne [samaritaine]	le [Géorgien];un bon [samaritain]
SUBJ;PLUR;ANAN;NAT;OPRP	Originally, the German wanted to present the photos taken of them in 1943 and 1944.	Initialement, l’Allemande voulait présenter les photos prises d’elles en 1943 et 1944.	Initialement, l’Allemande voulait présenter les photos prises d’eux en 1943 et 1944.	Initialement, l’Allemand voulait présenter les photos prises d’elles en 1943 et 1944.	Initialement, l’Allemand voulait présenter les photos prises d’eux en 1943 et 1944.	German;them	Allemande;elles	Allemand;eux
ANAN;SUBJ;PLUR;OTH;GLNK	These globetrotters and backpackers have already crossed several countries throughout all the continents.	Ces globetrotteuses et routardes ont déjà traversé plusieurs pays à travers tous les continents.	Ces globetrotteuses et routards ont déjà traversé plusieurs pays à travers tous les continents.	Ces globetrotteurs et routardes ont déjà traversé plusieurs pays à travers tous les continents.	Ces globetrotteurs et routards ont déjà traversé plusieurs pays à travers tous les continents.	globetrotters;backpackers	globetrotteuses;routardes	globetrotteurs;routards
SUBJ;PLUR;FAM;ANAN;OPRP;PROF	The go-between gave good advice in this critical phase for the loggers.	L’intermédiaire a donné de bons conseils dans cette phase critique pour les bûcheronnes.	L’intermédiaire a donné de bons conseils dans cette phase critique pour les bûcherons.	L’intermédiaire a donné de bons conseils dans cette phase critique pour les bûcheronnes.	L’intermédiaire a donné de bons conseils dans cette phase critique pour les bûcherons.	go-between;loggers	intermédiaire;bûcheronnes	intermédiaire;bûcherons
SUBJ;OTH;NHUM;PLUR	The goblins have stolen the country's goods and the knight must get them back.	Les gobelines ont volé les biens du pays et la chevalière doit les récupérer.	Les gobelines ont volé les biens du pays et le chevalier doit les récupérer.	Les gobelins ont volé les biens du pays et la chevalière doit les récupérer.	Les gobelins ont volé les biens du pays et le chevalier doit les récupérer.	goblins;knight	gobelines;la [chevalière]	gobelins;le [chevalier]
ANAN;SUBJ;PROF;GLNK	When a governor or mayor gives their support to solving these problems, an important message is transmitted, which shows that the situation is unacceptable, and that change is expected.	Lorsqu’une gouverneure ou maire donne son soutien pour résoudre ces problèmes, un message important est transmis, ce qui montre que la situation est inacceptable, et qu’un changement est attendu.	Lorsqu’une gouverneure ou maire donne son soutien pour résoudre ces problèmes, un message important est transmis, ce qui montre que la situation est inacceptable, et qu’un changement est attendu.	Lorsqu’un gouverneur ou maire donne son soutien pour résoudre ces problèmes, un message important est transmis, ce qui montre que la situation est inacceptable, et qu’un changement est attendu.	Lorsqu’un gouverneur ou maire donne son soutien pour résoudre ces problèmes, un message important est transmis, ce qui montre que la situation est inacceptable, et qu’un changement est attendu.	governor;mayor	une [gouverneure];maire	un [gouverneur];maire
SUBJ;PLUR;DOBJ;DFCL;OTH;NAT	This is a sign that the Greeks cannot convince the skeptics.	C’est un signe que les Grecs ne peuvent pas convaincre les sceptiques.	C’est un signe que les Grecs ne peuvent pas convaincre les sceptiques.	C’est un signe que les Grecs ne peuvent pas convaincre les sceptiques.	C’est un signe que les Grecs ne peuvent pas convaincre les sceptiques.	Greeks;skeptics	Grecques;sceptiques	Grecs;sceptiques
SUBJ;PLUR;PROF;DOBJ	This app helps groomers find local breeders.	Cette appli aide les toiletteuses à trouver des éleveuses locales.	Cette appli aide les toiletteuses à trouver des éleveurs locaux.	Cette appli aide les toiletteurs à trouver des éleveuses locales.	Cette appli aide les toiletteurs à trouver des éleveurs locaux.	groomers;local [breeders]	toiletteuses;éleveuses [locales]	toiletteurs;éleveurs [locaux]
SUBJ;PLUR;ANAN;NAT;AATR;OPRP;PROF	The Haitian will spend four hours in space with the other cosmonauts.	L’Haïtienne passera quatre heures dans l’espace avec les autres cosmonautes.	L’Haïtienne passera quatre heures dans l’espace avec les autres cosmonautes.	L’Haïtien passera quatre heures dans l’espace avec les autres cosmonautes.	L’Haïtien passera quatre heures dans l’espace avec les autres cosmonautes.	Haitian;cosmonauts	Haïtienne;cosmonautes	Haïtien;cosmonautes
OTH;SUBJ;PROF;DOBJ	A pothole forced the hauler to drift and hit a motorist.	Un nid-de-poule a forcé la routière à se déporter et heurter une automobiliste.	Un nid-de-poule a forcé la routière à se déporter et heurter un automobiliste.	Un nid-de-poule a forcé le routier à se déporter et heurter une automobiliste.	Un nid-de-poule a forcé le routier à se déporter et heurter un automobiliste.	hauler;motorist	la [routière];une [automobiliste]	le [routier];un [automobiliste]
SUBJ;PLUR;DOBJ;REL	The Hebrews often battled the Philistines.	Les Hébreues ont souvent combattu les Philistines.	Les Hébreues ont souvent combattu les Philistins.	Les Hébreux ont souvent combattu les Philistines.	Les Hébreux ont souvent combattu les Philistins.	Hebrews;Philistines	Hébreues;Philistines	Hébreux;Philistins
SUBJ;PLUR;REL;ANAN;OTH;OPRP	The Hindu developed rhinoplasty techniques to reconstruct noses for amputees of religious, criminal or military punishment, very common at that time.	L’hindoue a développé des techniques de rhinoplastie pour reconstruire les nez des amputées de châtiments religieux, criminels ou militaires, très courants à cette époque.	L’hindoue a développé des techniques de rhinoplastie pour reconstruire les nez des amputés de châtiments religieux, criminels ou militaires, très courants à cette époque.	L’hindou a développé des techniques de rhinoplastie pour reconstruire les nez des amputées de châtiments religieux, criminels ou militaires, très courants à cette époque.	L’hindou a développé des techniques de rhinoplastie pour reconstruire les nez des amputés de châtiments religieux, criminels ou militaires, très courants à cette époque.	Hindu;amputees	hindoue;amputées	hindou;amputés
SUBJ;PLUR;ANAN;OTH;PROF	Home owners represent their mortgages, and investors represent their money.	Les propriétaires foncières représentent leurs emprunts immobiliers, et les investisseuses représentent leur argent.	Les propriétaires foncières représentent leurs emprunts immobiliers, et les investisseurs représentent leur argent.	Les propriétaires fonciers représentent leurs emprunts immobiliers, et les investisseuses représentent leur argent.	Les propriétaires fonciers représentent leurs emprunts immobiliers, et les investisseurs représentent leur argent.	home [owners];investors	[propriétaires] foncières;investisseuses	[propriétaires] fonciers;investisseurs
SUBJ;ANAN;APPS;OTH;NAT;OPRP	The Honduran received a threatening email from an anonymous caller.	La Hondurienne a reçu un email menaçant d’une appelante anonyme.	La Hondurienne a reçu un email menaçant d’un appelant anonyme.	Le Hondurien a reçu un email menaçant d’une appelante anonyme.	Le Hondurien a reçu un email menaçant d’un appelant anonyme.	Honduran;caller	la [Hondurienne];une [appelante]	le [Hondurien];un [appelant]
ANAN;SUBJ;PLUR;PROF;GLNK	Hoteliers and restaurateurs believe in an honest and courteous service.	Les hôtelières et restauratrices croient en un service honnête et courtois.	Les hôtelières et restaurateurs croient en un service honnête et courtois.	Les hôteliers et restauratrices croient en un service honnête et courtois.	Les hôteliers et restaurateurs croient en un service honnête et courtois.	hoteliers;restaurateurs	hôtelières;restauratrices	hôteliers;restaurateurs
APRD;SUBJ;PLUR;PROF;ANAN;OPRP;DFCL;DEMO	Humanitarians, braving the roads without appropriate protection, are extremely vulnerable to acts of violence and harassment by those who disapprove their actions.	Les humanitaires, bravant les routes sans protection appropriée, sont extrêmement vulnérables aux actes de violence et de harcèlement par celles qui désapprouvent leurs actions.	Les humanitaires, bravant les routes sans protection appropriée, sont extrêmement vulnérables aux actes de violence et de harcèlement par ceux qui désapprouvent leurs actions.	Les humanitaires, bravant les routes sans protection appropriée, sont extrêmement vulnérables aux actes de violence et de harcèlement par celles qui désapprouvent leurs actions.	Les humanitaires, bravant les routes sans protection appropriée, sont extrêmement vulnérables aux actes de violence et de harcèlement par ceux qui désapprouvent leurs actions.	humanitarians;those	humanitaires;celles	humanitaires;ceux
APRD;SUBJ;PLUR;REL;OPRP;PERS	I am indispensable to my disciples.	Je suis indispensable à mes disciples.	Je suis indispensable à mes disciples.	Je suis indispensable à mes disciples.	Je suis indispensable à mes disciples.	I;disciples	je;disciples	je;disciples
PLUR;OPRP;REL;GLNK	Is there a difference between iconoclasts and atheists?	Y a-t-il une différence entre les iconoclastes et les athées ?	Y a-t-il une différence entre les iconoclastes et les athées ?	Y a-t-il une différence entre les iconoclastes et les athées ?	Y a-t-il une différence entre les iconoclastes et les athées ?	iconoclasts;atheists	iconoclastes;athées	iconoclastes;athées
SUBJ;PLUR;SCMP;OTH;NAT	The immortals are probably the Egyptians.	Les immortelles sont probablement les Égyptiennes.	Les immortelles sont probablement les Égyptiens.	Les immortels sont probablement les Égyptiennes.	Les immortels sont probablement les Égyptiens.	immortals;Egyptians	immortelles;Égyptiennes	immortels;Égyptiens
SUBJ;PROF;OTH;AATR;OPRP	At the same time, an incomer can have their identity documents confiscated by a custom officer.	En même temps, une nouvelle venue peut se voir confisquer ses papiers d’identité par une douanière.	En même temps, une nouvelle venue peut se voir confisquer ses papiers d’identité par un douanier.	En même temps, un nouveau venu peut se voir confisquer ses papiers d’identité par une douanière.	En même temps, un nouveau venu peut se voir confisquer ses papiers d’identité par un douanier.	incomer;officer	une nouvelle [venue];une [douanière]	un nouveau [venu];un [douanier]
SCMP;SUBJ;FAM	The inheritor is a divorcee.	L’héritière est une divorcée.	L’héritière est un divorcé.	L’héritier est une divorcée.	L’héritier est un divorcé.	inheritor;divorcee	héritière;une [divorcée]	héritier;un [divorcé]
